id,text,label,sentiment,domain,split
1,価格は少し高めだが、地図アプリの機能の分かりやすさを考えると十分満足できる。,1,高評価,アプリ,train
2,学習アプリを使ってみたところ、操作性が便利で満足度は高い。 高評価を付けたい。,1,高評価,アプリ,train
3,実際に使ってみると、価格は安いが、空港ホテルの浴場を考えると満足できない。,0,低評価,ホテル,train
4,何度か利用してみた。期待していなかったが、ドキュメンタリー映画はキャラクターが予想以上で驚いた。 また使いたいと思う。,1,高評価,映画,train
5,友人の勧めで試してみた。評判ほど良くなかった。バッグはサイズ感に問題があり、人には勧めにくい。,0,低評価,EC商品,train
6,しばらく利用した結果、期待していなかったが、ラーメン店は価格が予想以上で驚いた。,1,高評価,飲食店,train
7,一週間ほど試した。マウスは期待以上だった。デザインが特に良く、また利用したい。,1,高評価,EC商品,train
8,一週間ほど試した。アクション映画は値段に見合わない。特にラストがひどかった。 総合的には不満が残る。,0,低評価,映画,train
9,良い点もあるものの、恋愛映画は総合的に世界観が悪く低評価にしたい。,0,低評価,映画,test
10,友人の勧めで試してみた。冒険映画は期待外れだった。映像に不満があり、もう利用したくない。,0,低評価,映画,validation
11,一週間ほど試した。地図アプリは検索機能が不安定でストレスを感じた。不満がある。 次は選ばないと思う。,0,低評価,アプリ,train
12,提供の早さに満足した。うどん店を選んで正解だったと思う。 また使いたいと思う。,1,高評価,飲食店,train
13,しばらく利用した結果、最初は良さそうに感じたが、寿司店は使ってみると食材の新鮮さが悪くてがっかりした。,0,低評価,飲食店,test
14,評判どおりだった。キーボードは品質が良く、人にも勧めたい。,1,高評価,EC商品,test
15,レビューを見て選んだ。価格は少し高めだが、イヤホンのデザインを考えると十分満足できる。,1,高評価,EC商品,train
16,大きな不満はなく、冒険映画はテンポのおかげで快適に利用できた。,1,高評価,映画,train
17,ミステリー映画は悪くないどころか、世界観がかなり良かった。,1,高評価,映画,train
18,期待していたのに、民宿はベッドの快適さが予想以下でがっかりした。 低評価にしたい。,0,低評価,ホテル,train
19,良い点もあるものの、ドキュメンタリー映画は総合的にラストが悪く低評価にしたい。,0,低評価,映画,test
20,友人の勧めで試してみた。大きな不満はなく、コメディ映画は演出のおかげで快適に利用できた。,1,高評価,映画,train
21,うどん店は全体的に使いにくく、雰囲気も残念だった。 低評価にしたい。,0,低評価,飲食店,train
22,一週間ほど試した。定食屋は値段以上の価値を感じた。特に料理の味が素晴らしい。,1,高評価,飲食店,train
23,不満が多く、コメディ映画は映像のせいで快適に利用できなかった。,0,低評価,映画,train
24,期待していなかったが、椅子は音質が予想以上で驚いた。,1,高評価,EC商品,train
25,館内設備が想像より悪かった。次回は宿泊施設を選ばないと思う。 低評価にしたい。,0,低評価,ホテル,test
26,家計簿アプリは期待以上だった。画面の見やすさが特に良く、また利用したい。,1,高評価,アプリ,train
27,SF映画は値段に見合わない。特にテンポがひどかった。 総合的には不満が残る。,0,低評価,映画,train
28,最初は良さそうに感じたが、焼肉店は使ってみると価格が悪くて残念に感じた。,0,低評価,飲食店,validation
29,今回初めて利用した。良いところも少しあったが、メモアプリは使い勝手が悪かったので不満が残った。,0,低評価,アプリ,train
30,何度か利用してみた。カレー店は提供の早さが不安定でストレスを感じた。不満がある。,0,低評価,飲食店,train
31,良いところも少しあったが、カレー店は食材の新鮮さが悪かったので不満が残った。,0,低評価,飲食店,train
32,店内の清潔さが良くなかった。定食屋を選んだのは失敗だったと思う。,0,低評価,飲食店,validation
33,友人の勧めで試してみた。価格は安いが、マウスのサイズ感を考えると納得できない。,0,低評価,EC商品,train
34,不満が多く、宿泊施設はスタッフの対応のせいで快適に利用できなかった。,0,低評価,ホテル,test
35,軽さに満足した。イヤホンを選んで正解だったと思う。,1,高評価,EC商品,train
36,何度か利用してみた。評判どおりだった。SF映画は迫力が良く、人にも勧めたい。 高評価を付けたい。,1,高評価,映画,train
37,友人の勧めで試してみた。良い点もあるものの、マウスは総合的に音質が悪く低評価にしたい。 次は選ばないと思う。,0,低評価,EC商品,train
38,今回初めて利用した。評判どおりだった。イヤホンは動作の安定性が良く、人にも勧めたい。,1,高評価,EC商品,train
39,品質が想像より悪かった。次回はバッグを選ばないと思う。 総合的には不満が残る。,0,低評価,EC商品,train
40,アクション映画は全体的に使いにくく、キャラクターも残念だった。,0,低評価,映画,train
41,今回初めて利用した。観光ホテルは全体的に使いやすく、スタッフの対応も申し分ない。,1,高評価,ホテル,validation
42,良い点もあるものの、バッグは総合的に品質が悪く低評価にしたい。,0,低評価,EC商品,train
43,最初は良さそうに感じたが、マウスは使ってみると音質が悪くてがっかりした。,0,低評価,EC商品,train
44,良いところも少しあったが、焼肉店は価格が不満だったので不満が残った。,0,低評価,飲食店,train
45,友人の勧めで試してみた。評判ほど良くなかった。椅子はデザインに問題があり、人には勧めにくい。,0,低評価,EC商品,train
46,実際に使ってみると、民宿は値段に見合わない。特にチェックインのスムーズさがひどかった。 次は選ばないと思う。,0,低評価,ホテル,train
47,カフェは悪くないどころか、料理の味がかなり良かった。,1,高評価,飲食店,train
48,パン屋は期待以上だった。食材の新鮮さが特に良く、また利用したい。,1,高評価,飲食店,train
49,水筒を使ってみたところ、操作感が不便で満足できなかった。,0,低評価,EC商品,train
50,良い点もあるものの、イヤホンは総合的にコストパフォーマンスが悪く低評価にしたい。,0,低評価,EC商品,train
51,今回初めて利用した。最初は良さそうに感じたが、充電器は使ってみると耐久性が悪くてがっかりした。,0,低評価,EC商品,validation
52,しばらく利用した結果、評判どおりだった。スピーカーは耐久性が良く、人にも勧めたい。,1,高評価,EC商品,train
53,少し気になる点はあったが、うどん店は価格が良かったので満足している。,1,高評価,飲食店,train
54,少し気になる点はあったが、キーボードはサイズ感が好印象だったので満足している。,1,高評価,EC商品,train
55,実際に使ってみると、細かい欠点はあるものの、音楽アプリは総合的に通知機能が良く高評価にしたい。,1,高評価,アプリ,train
56,しばらく利用した結果、サイズ感が良くなかった。掃除機を選んだのは失敗だったと思う。,0,低評価,EC商品,validation
57,細かい欠点はあるものの、駅前ホテルは総合的に部屋の清潔さが良く高評価にしたい。 高評価を付けたい。,1,高評価,ホテル,train
58,ミステリー映画は悪くないと思っていたが、音楽がかなり残念だった。 次は選ばないと思う。,0,低評価,映画,train
59,チャットアプリは悪くないどころか、デザインがかなり良かった。,1,高評価,アプリ,train
60,評判どおりだった。地図アプリは操作性が良く、人にも勧めたい。,1,高評価,アプリ,train
61,寿司店は期待以上だった。提供の早さが特に良く、また利用したい。 総合的には満足している。,1,高評価,飲食店,train
62,最初は良さそうに感じたが、ドキュメンタリー映画は使ってみると演技が悪くてがっかりした。,0,低評価,映画,train
