id,text,label,label_id,split
1,先週、美術館の近くで食事できる店を探した。,旅行・観光,2,train
2,セキュリティの性能を比較してみたい。,IT・テクノロジー,0,train
3,家でアプリのセキュリティ対策を強化したい。,IT・テクノロジー,0,test
4,朝から神戸のおすすめルートを確認した。,旅行・観光,2,train
5,先週、鍋料理の店が混んでいたので別の店を探した。,食事・料理,1,validation
6,仕事で東京への旅行費用を計算している。,旅行・観光,2,test
7,休日に海辺のおすすめルートを確認した。,旅行・観光,2,test
8,朝から旅館までの交通手段を比較している。,旅行・観光,2,train
9,家で陸上をテレビで観戦する予定だ。,スポーツ,3,train
10,友人とアプリの性能を比較してみたい。,IT・テクノロジー,0,train
11,先週、北海道の混雑状況が気になっている。,旅行・観光,2,train
12,最近、鍋料理に合う調味料を試してみたい。,食事・料理,1,train
13,新幹線への旅行費用を計算している。,旅行・観光,2,train
14,最近、休日にコーヒーを手作りした。,食事・料理,1,test
15,朝からホテルで泊まる場所を探している。,旅行・観光,2,train
16,昼ごはんにおにぎりを食べた。,食事・料理,1,validation
17,家でラーメンの簡単なレシピを探している！,食事・料理,1,train
18,ネットで福岡までの交通手段を比較している。,旅行・観光,2,train
19,先週、ボクシングのルールをもう一度調べた。,スポーツ,3,train
20,京都の近くで食事できる店を探した。,旅行・観光,2,train
21,今日はラグビーのルールをもう一度調べた。,スポーツ,3,train
22,会社でGPUを導入する予定だ。,IT・テクノロジー,0,train
23,朝からバドミントンで使う道具を新しくした。,スポーツ,3,train
24,次の休みに沖縄へ行く予定だ。,旅行・観光,2,train
25,朝からパソコンを使って簡単なツールを作った。,IT・テクノロジー,0,train
26,友人とスキーの練習を始めた。,スポーツ,3,train
27,先週、市場が家計に与える影響を調べている。,金融・経済,4,train
28,仕事でセキュリティの性能を比較してみたい。,IT・テクノロジー,0,train
29,仕事で柔道で使う道具を新しくした。,スポーツ,3,train
30,友人とスマートフォンを学習するために教材を探している。,IT・テクノロジー,0,train
31,ネットで新幹線のおすすめルートを確認した。,旅行・観光,2,train
32,家で神戸周辺の観光スポットを調べている。,旅行・観光,2,train
33,資産運用の動きを毎日確認している。,金融・経済,4,train
34,仕事で餃子に合う調味料を試してみたい。,食事・料理,1,test
35,休日に柔道の大会結果を確認した。,スポーツ,3,train
36,ネットでゴルフのトレーニング方法を確認している。,スポーツ,3,train
